readgroup,sample_name,subject_id,sample_type,absolute_path_to_fq1,absolute_path_to_fq2,library_name,platform_unit,sequence_date,sequence_platform,sequence_center
DCR0003_NA_L01_525,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-525_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-525_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_526,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-526_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-526_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_527,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-527_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-527_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_528,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-528_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-528_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_529,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-529_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-529_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_530,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-530_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-530_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_531,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-531_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-531_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L01_532,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-532_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L01_B5GHUMxlydRAABA-532_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_525,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-525_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-525_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_526,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-526_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-526_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_527,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-527_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-527_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_528,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-528_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-528_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_529,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-529_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-529_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_530,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-530_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-530_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_531,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-531_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-531_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L02_532,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-532_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L02_B5GHUMxlydRAABA-532_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L03_525,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-525_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-525_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L03_526,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-526_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-526_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L03_527,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-527_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-527_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L03_528,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-528_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-528_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
DCR0003_NA_L03_529,DCR0003_NA,DCR0003,N,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-529_1.fq.gz,/home/ckane/crc_more2/DCR0003_NA/V350083339_L03_B5GHUMxlydRAABA-529_2.fq.gz,DCR0003_NA,DCR0003_NA,2023-10-30T11:11:00,ILLUMINA,BGI
