readgroup,sample_name,subject_id,sample_type,absolute_path_to_fq1,absolute_path_to_fq2,library_name,platform_unit,sequence_date,sequence_platform,sequence_center
DCR090_NA_L01_525,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-525_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-525_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_526,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-526_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-526_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_527,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-527_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-527_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_528,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-528_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-528_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_529,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-529_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-529_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_530,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-530_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-530_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_531,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-531_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-531_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L01_532,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-532_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L01_B5GHOMrkogRAADA-532_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_525,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-525_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-525_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_526,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-526_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-526_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_527,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-527_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-527_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_528,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-528_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-528_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_529,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-529_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-529_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_530,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-530_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-530_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_531,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-531_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-531_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L02_532,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-532_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L02_B5GHOMrkogRAADA-532_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L03_525,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-525_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-525_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L03_526,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-526_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-526_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L03_527,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-527_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-527_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
DCR090_NA_L03_528,DCR090_NA,DCR090,N,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-528_1.fq.gz,/home/ckane/crc-more/DCR090_NA/V350150425_L03_B5GHOMrkogRAADA-528_2.fq.gz,DCR090_NA,DCR090_NA,2023-10-17T10:55:00,ILLUMINA,BGI
