readgroup,sample_name,subject_id,sample_type,absolute_path_to_fq1,absolute_path_to_fq2,library_name,platform_unit,sequence_date,sequence_platform,sequence_center
DCR0056_TA_L03_539,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-539_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-539_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_534,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-534_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-534_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L01_540,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-540_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-540_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_535,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-535_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-535_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L03_538,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-538_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-538_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_538,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-538_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-538_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_537,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-537_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-537_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L01_537,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-537_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-537_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L03_533,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-533_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-533_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L01_539,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-539_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L01_B5GHUMkxaqRAAGA-539_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_533,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-533_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-533_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_539,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-539_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-539_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L03_534,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-534_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-534_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L03_536,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-536_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L03_B5GHUMkxaqRAAGA-536_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
DCR0056_TA_L02_540,DCR0056_TA,DCR0056,T,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-540_1.fq.gz,/home/ckane/crc_more2/DCR0056_TA/V350094712_L02_B5GHUMkxaqRAAGA-540_2.fq.gz,DCR0056_TA,DCR0056_TA,2024-05-28T10:43:29,ILLUMINA,BGI
